datetime,Global_active_power
2006-12-16,1209.1760000000004
2006-12-17,3390.46
2006-12-18,2203.825999999997
2006-12-19,1666.1940000000006
2006-12-20,2225.747999999999
2006-12-21,1723.2879999999993
2006-12-22,2341.3379999999993
2006-12-23,4773.385999999999
2006-12-24,2550.012000000007
2006-12-25,2743.120000000005
2006-12-26,3934.11
2006-12-27,1528.7600000000007
2006-12-28,2072.638
2006-12-29,3174.391999999997
2006-12-30,2796.108000000001
2006-12-31,3494.1959999999995
2007-01-01,2749.004000000016
2007-01-02,1269.2360000000006
2007-01-03,1014.0540000000003
2007-01-04,3259.4119999999907
2007-01-05,2713.3639999999928
2007-01-06,1508.3779999999995
2007-01-07,2447.620000000002
2007-01-08,2241.3599999999974
2007-01-09,1869.0539999999992
2007-01-10,2154.799999999996
2007-01-11,2255.1940000000004
2007-01-12,1461.2960000000026
2007-01-13,3186.813999999998
2007-01-14,3009.441999999998
2007-01-15,2148.677999999998
2007-01-16,1686.4039999999998
2007-01-17,2847.6879999999987
2007-01-18,1821.4620000000007
2007-01-19,1480.4400000000028
2007-01-20,3133.7319999999963
2007-01-21,3407.2619999999984
2007-01-22,2180.494
2007-01-23,1777.6400000000006
2007-01-24,2987.853999999998
2007-01-25,1596.3439999999975
2007-01-26,1617.9719999999982
2007-01-27,2044.0720000000006
2007-01-28,3091.587999999989
2007-01-29,1982.664
2007-01-30,1707.7979999999984
2007-01-31,2363.752000000001
2007-02-01,1824.76
2007-02-02,1667.7359999999976
2007-02-03,4029.7219999999957
2007-02-04,3595.9400000000023
2007-02-05,1645.2799999999993
2007-02-06,1273.4800000000005
2007-02-07,2328.018000000001
2007-02-08,1801.4140000000002
2007-02-09,1620.198000000001
2007-02-10,2829.3279999999995
2007-02-11,3571.2279999999987
2007-02-12,1877.6100000000006
2007-02-13,1414.5460000000005
2007-02-14,2498.671999999997
2007-02-15,1985.3459999999975
2007-02-16,1702.5279999999975
2007-02-17,2076.9120000000025
2007-02-18,3829.7620000000065
2007-02-19,2186.6139999999978
2007-02-20,3149.9280000000044
2007-02-21,2072.8740000000025
2007-02-22,3374.3559999999957
2007-02-23,1313.4800000000025
2007-02-24,714.9220000000017
2007-02-25,501.7400000000009
2007-02-26,568.484
2007-02-27,518.1119999999974
2007-02-28,520.774000000001
2007-03-01,517.5640000000016
2007-03-02,515.6880000000006
2007-03-03,819.1220000000008
